Date,Indicator,Category,Unit,Value
2008-06-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.179628
2008-06-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,11.820000
2008-06-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1600.739737
2008-06-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1619.480000
2008-07-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.852296
2008-07-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,22.007714
2008-07-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,11.460000
2008-07-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1633.940217
2008-07-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1640.665000
2008-08-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.852296
2008-08-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,23.338547
2008-08-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.360000
2008-08-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1623.619048
2008-08-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1644.985000
2008-09-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.075475
2008-09-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.228271
2008-09-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.380000
2008-09-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1645.010750
2008-09-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1670.045000
2008-10-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.662367
2008-10-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.163633
2008-10-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,10.460000
2008-10-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1838.662955
2008-10-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1880.990000
2008-11-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.500000
2008-11-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.380000
2008-11-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.850000
2008-11-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1910.130000
2008-11-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1973.895000
2008-12-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.620000
2008-12-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.000000
2008-12-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.850000
2008-12-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1956.188750
2008-12-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1949.180000
2009-01-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.230000
2009-01-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.923776
2009-01-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,13.780000
2009-01-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1975.970000
2009-01-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1977.495000
2009-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.660916
2009-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.697981
2009-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.890000
2009-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1964.832750
2009-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1980.005000
2009-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.970490
2009-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.970277
2009-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.420000
2009-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2051.545227
2009-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2118.410000
2009-04-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.814914
2009-04-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.435496
2009-04-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.774218
2009-04-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2175.610250
2009-04-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2226.735000
2009-05-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.707128
2009-05-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,22.196825
2009-05-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.080000
2009-05-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2247.682500
2009-05-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2234.275000
2009-06-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.719177
2009-06-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.795670
2009-06-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.850000
2009-06-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2137.179500
2009-06-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2064.075000
2009-07-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.761864
2009-07-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.000000
2009-07-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.999885
2009-07-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2110.766304
2009-07-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2104.490000
2009-08-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.130182
2009-08-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.753907
2009-08-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.710443
2009-08-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2071.668810
2009-08-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2055.495000
2009-09-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.492879
2009-09-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.690000
2009-09-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,4.259657
2009-09-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1961.903636
2009-09-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1923.985000
2009-10-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.500115
2009-10-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.417705
2009-10-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,4.120000
2009-10-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1898.282619
2009-10-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1883.795000
2009-11-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.807907
2009-11-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.574209
2009-11-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.660000
2009-11-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1873.778250
2009-11-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1870.735000
2009-12-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.234541
2009-12-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.006144
2009-12-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.460000
2009-12-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1896.637045
2009-12-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1899.710000
2010-01-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.282291
2010-01-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.571214
2010-01-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.650223
2010-01-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1935.626053
2010-01-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1949.165000
2010-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.422007
2010-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.193495
2010-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.599031
2010-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1996.536000
2010-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2045.440000
2010-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,7.698743
2010-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.128754
2010-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.393061
2010-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2086.366364
2010-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2084.345000
2010-04-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,7.764620
2010-04-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.953187
2010-04-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.273751
2010-04-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2083.004000
2010-04-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2123.255000
2010-05-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,7.495561
2010-05-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.612445
2010-05-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,2.744997
2010-05-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2174.568333
2010-05-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2208.915000
2010-06-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,7.252015
